geneID	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
MAPK4	2.3517196891431302	1.3240981755324608	0.7055312049681901	0.7013388123371231	0.7466268598420183	-1.7599993181565177	-2.4582455288740093	-2.7751890444197302	-1.665194375247065	-1.7703545014020263
MAPRE3	4.193032005729035	3.4440053137671316	4.18514266152861	3.743753516826543	3.390720039384305	1.2632848707496191	1.6164674436459716	0.8702911601153093	1.0100260838365671	1.3762215543969045
MAPT	3.962602223781846	4.35268944353692	4.460448084569313	3.9034438475614026	4.614021988145973	1.0985891701310226	1.5477251276384547	1.713807297050597	1.194459044782006	1.4560852523190841
MARC1	4.483803015165269	6.32509151430863	6.580427285156865	7.021802454579622	5.884250091889752	1.5621439283679301	2.426710060101884	1.6466647045595475	0.9188463892576871	1.1074255224056095
MARCH1	4.244129810374526	4.6507007365231265	4.926183755305918	4.329347303066443	2.624885917841536	7.523413098778186	7.66183358952178	8.108394112483541	8.102832211468613	8.126758863848698
MARVELD2	4.852020227167262	4.707956615461429	4.566754573028596	4.424416127384123	4.086679431801997	3.099680656871054	1.5860879803469563	1.6914987193956263	1.7770966546496367	2.951799677105482
MAT1A	3.1629838106089863	4.0664819077571694	2.5950577309787235	3.914156779904092	3.4186394364282937	-1.0008585925737883	-0.9206659386998	-1.2208194335664801	-1.084014345698723	-0.7960071980928314
MATK	1.1360639765089247	2.0348131057228875	1.576265474504817	1.4236490798064034	2.0290664320800627	4.55527132747755	4.1464793810866984	4.719160446579091	5.1507305958164995	4.340215011046126
MATN2	7.009452950435554	6.60116555452752	6.955973531683705	7.178322837177472	7.204802425739352	4.454068799238547	3.98072191353174	3.0383480790961213	3.2299272280179507	3.624927036388498
MATN4	2.401926470072087	2.217081752493377	1.1045122543356714	3.69664735131824	2.2453749563520127	-3.0656856066235387	-4.2748684571774165	-3.0862103661436864	-3.3012144654261015	-3.2885632444877113
MB21D1	1.711317296830226	2.07925474477135	2.1141589917524395	2.0752970540410485	3.068835709605391	4.969210802451972	5.135213287004482	6.130224735931197	5.878613140819302	5.5054079363471855
