geneSymbol	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
ENTPD1	5.183971511967665	5.735159466116206	5.58879160133611	5.649148174791618	6.646547888319689	8.332287571056957	7.981656754923833	8.10210086143363	8.435967212400458	8.098333850219612
AC141272.1	-6.473443889334508	-5.165897603038344	-6.519189817758153	-5.180930543871455	-2.222328138948477	3.233754700436568	1.262903844892389	1.6379971994638947	3.6966316743427416	1.7903708960571896
IGKV6D-21	-6.473443889334508	-5.165896417605562	-6.519189817758153	-5.180930543871455	-2.222328138948477	0.7849153119536851	0.8734091420070829	1.2032239786846257	2.0226083504091084	0.475121018345719
AKR1B1	3.9045973441999897	4.322178886985665	4.099224042397411	4.493611066366805	5.366536524941904	6.658240954435083	6.495894541000676	6.422185287191988	6.832173124280711	6.152876388064338
ODF3B	2.156732579445929	2.9868806127697454	2.3497198924862985	2.7695581622971632	3.577925043312718	5.7074307834167834	5.6194725579836184	5.913317662228381	6.088312935763039	5.234712271338402
IGKV3D-15	-6.473443889334508	-4.904550254431947	-6.519189817758153	-5.180930543871455	-2.222328138948477	2.777862390294525	2.762254548777733	2.8994270992663376	3.7407199433091582	1.5516015787679045
TYMP	2.6392699477981445	3.7406081592693843	2.627759626279534	3.461991999782024	5.1220511449811355	8.973643609660614	8.379444251724362	9.145800683497779	8.738603971775449	8.239940158314662
TOR4A	1.7631541161320594	1.851669189554677	1.5990257263444865	2.184980169195189	2.8487959496170085	4.8011631926817	4.791231451720571	4.6300140071878895	4.770733477886901	4.278491559984839
IGKV1-6	-6.473443889334508	-4.732087686093804	-6.519189817758153	-5.180930543871455	-2.222328138948477	5.768604136416712	5.095874316825157	4.118359484026521	5.239924742166367	2.7864064872929353
RGS16	1.8800216759122859	1.9590379259207744	1.1139546565533271	1.5712038337502023	2.537873899173339	5.46300210221312	4.4482268637600955	5.147003297485308	4.78020212433439	4.2909330573696245
KCNJ15	3.017334114019078	2.670673634274449	2.4295263490580363	2.441908469298731	3.517973937125749	6.014577608355221	5.332815977519289	5.496011995729136	5.257679345263042	5.365521642038707
IGHV2-70	-4.6690019150666675	-6.806627647452251	-6.519189817758153	-5.180930543871455	-2.222328138948477	4.118518629706807	3.1505356909785722	3.5619209465767367	2.290846115209737	1.4435818208265696
TCN2	2.692259314650003	3.9567502085965542	3.3732298842677406	3.882230486188972	4.1239159575544395	7.1296861163504985	6.189572558359338	6.42042473130118	6.668280127002081	6.234322736345263
CARHSP1	3.9279403087260643	4.437936530642424	3.922889130413883	4.42510705768694	4.8540440080812	6.908228438408097	6.076347884730818	6.170099716904679	6.392751990229943	5.867970809682098
IGKV6-21	-4.876367748032715	-4.418028029766335	-6.519189817758153	-3.5514552011740186	-2.222328138948477	4.046633894477468	1.4513926545124982	3.8351621418196005	4.588000854829126	1.4157508726471264
